Order_ID,Customer_ID,Product_Category,Purchase_Date,Return_Date,Revenue,Unit_Sold,Status
ORD-133554,CUST-3951,Clothing,8/19/2025,,8960 NTD,4,Shipped
ORD-109428,CUST-4961,Electronics,7/13/2024,,5196,4,Shipped
ORD-100200,CUST-1186,Clothing,11/30/2025,,96,2,Shipped
ORD-112448,CUST-5197,Electronics,6/24/2025,,7095,5,Shipped
ORD-139490,CUST-3927,Clothing,11/29/2024,,240,2,Shipped
ORD-142725,CUST-0107,Home & Garden,3/17/2025,,764,2,Pending
ORD-110823,CUST-5191,Toys,2/21/2025,4/12/2025,72,3,Returned
ORD-137522,CUST-7640,Electronics,11/17/2025,,249,1,Pending
ORD-104145,CUST-7107,Home & Garden,9/8/2025,,119,1,Shipped
ORD-136959,CUST-7743,Home & Garden,10/23/2024,,211,1,Shipped
ORD-143107,CUST-3324,Home & Garden,10/24/2024,,994,2,Shipped
ORD-138696,CUST-5011,Home & Garden,11/20/2025,,144,1,Pending
ORD-106189,CUST-4734,Toys,5/24/2024,,140,4,Shipped
ORD-101415,CUST-4246,Sports,7/12/2024,,8320 NTD,5,Shipped
ORD-118472,CUST-6866,Toys,2/21/2025,3/16/2025,430,5,Returned
ORD-129283,CUST-3366,Home & Garden,10/14/2025,,1748,4,Shipped
ORD-115178,CUST-2851,Toys,8/21/2025,9/8/2025,285,5,Returned
ORD-134305,CUST-7973,Home & Garden,3/2/2026,,860,2,Shipped
ORD-112610,CUST-5969,Home & Garden,3/15/2026,,"$2,380.00 ",5,Shipped
ORD-112145,CUST-7096,Sports,5/11/2025,,1285,5,Cancelled
ORD-106114,CUST-3770,Toys,1/4/2025,,41,1,Shipped
ORD-115909,CUST-3096,Toys,5/28/2025,,30,2,Shipped
ORD-100822,CUST-6588,Clothing,4/8/2025,,280,4,Shipped
ORD-115119,CUST-6600,Toys,4/7/2026,,345,5,Shipped
ORD-113467,CUST-7422,Toys,2/23/2025,,54,3,Shipped
ORD-126498,CUST-1358,Clothing,9/25/2024,,77,1,Shipped
ORD-142112,CUST-5868,Home & Garden,11/14/2024,1/1/2025,1398,3,Returned
ORD-130189,CUST-7950,Clothing,7/16/2025,,635,5,Shipped
ORD-137238,CUST-3798,Clothing,2/5/2025,3/21/2025,7968 NTD,3,Returned
ORD-133110,CUST-4229,Clothing,12/11/2025,,292,4,Shipped
ORD-136481,CUST-2507,Toys,6/28/2025,,18,1,Shipped
ORD-124149,CUST-6959,Sports,8/6/2025,,156,3,Shipped
ORD-105504,CUST-1070,Sports,8/5/2024,,459,3,Shipped
ORD-103919,CUST-3777,Clothing,9/3/2025,,260,5,Shipped
ORD-138479,CUST-1983,Home & Garden,4/10/2026,,1500,5,Shipped
ORD-121124,CUST-3520,Electronics,10/4/2024,,2965,5,Shipped
ORD-117694,CUST-1868,Electronics,7/16/2024,,9925,5,Pending
ORD-142295,CUST-4209,Electronics,8/18/2025,,3568,4,Shipped
ORD-147610,CUST-0316,Toys,8/15/2024,,237,3,Shipped
ORD-111077,CUST-2775,Home & Garden,6/11/2025,7/5/2025,1284,4,Returned
ORD-141515,CUST-1672,Electronics,10/10/2024,,2888,4,Shipped
ORD-122063,CUST-0677,Home & Garden,11/12/2024,,103,1,Pending
ORD-109414,CUST-7108,Home & Garden,5/21/2025,,2440,5,Shipped
ORD-138341,CUST-6720,Home & Garden,3/30/2026,,1484,4,Shipped
ORD-130264,CUST-1119,Toys,3/24/2025,4/9/2025,160,5,Returned
ORD-141253,CUST-3191,Sports,5/13/2024,5/18/2024,1132,4,Returned
ORD-114645,CUST-0943,Home & Garden,4/8/2026,4/22/2026,1288,4,Returned
ORD-126336,CUST-0939,Electronics,11/12/2025,,2185,5,Shipped
ORD-128103,CUST-0841,Electronics,10/27/2025,11/4/2025,2734,2,Returned
ORD-117524,CUST-2853,Sports,1/29/2026,2/17/2026,39,1,Returned
ORD-124713,CUST-0924,Clothing,3/17/2025,3/30/2025,134,1,Returned
ORD-140486,CUST-3687,Sports,4/12/2026,6/11/2026,940,5,Returned
ORD-103851,CUST-7320,Sports,9/7/2024,,USD 915,5,Shipped
ORD-140041,CUST-0719,Toys,8/10/2025,,2368 NTD,2,Shipped
ORD-115268,CUST-6350,Sports,3/11/2026,,"$1,485.00 ",5,Shipped
ORD-106416,CUST-6072,Clothing,11/4/2024,,240,4,Pending
ORD-130002,CUST-7985,Clothing,9/14/2024,10/16/2024,126,3,Returned
ORD-145927,CUST-3095,Home & Garden,1/28/2025,,1500,3,Shipped
ORD-143825,CUST-2637,Clothing,7/31/2025,,$630.00 ,5,Shipped
ORD-117241,CUST-4478,Clothing,7/19/2024,,530,5,Shipped
ORD-104893,CUST-5415,Sports,6/17/2024,7/9/2024,1410,5,Returned
ORD-100726,CUST-6338,Clothing,10/6/2025,10/13/2025,262,2,Returned
ORD-122950,CUST-5049,Sports,5/5/2024,5/16/2024,348,2,Returned
ORD-134658,CUST-5717,Sports,6/8/2025,7/11/2025,840,4,Returned
ORD-137214,CUST-6405,Clothing,5/6/2025,5/25/2025,315,5,Returned
ORD-120305,CUST-4944,Sports,1/12/2026,2/21/2026,46,1,Returned
ORD-115270,CUST-4810,Sports,7/17/2024,,508,2,Shipped
ORD-122368,CUST-3112,Home & Garden,8/19/2024,,437,1,Shipped
ORD-142685,CUST-5512,Clothing,12/9/2024,,USD 72,2,Shipped
ORD-146735,CUST-6916,Toys,2/19/2026,,475,5,Shipped
ORD-111733,CUST-1421,Clothing,7/21/2024,,345,5,Shipped
ORD-118620,CUST-2976,Electronics,8/14/2024,10/7/2024,2172,3,Returned
ORD-104647,CUST-4330,Clothing,7/30/2024,,327,3,Pending
ORD-126804,CUST-4698,Home & Garden,2/23/2026,4/11/2026,1880,4,Returned
ORD-144306,CUST-1135,Toys,3/4/2026,,225,5,Shipped
ORD-147523,CUST-6922,Electronics,3/28/2025,,2259,3,Shipped
ORD-132208,CUST-4413,Sports,2/28/2025,3/22/2025,785,5,Returned
ORD-102531,CUST-5291,Clothing,12/1/2025,,117,3,Cancelled
ORD-117747,CUST-3379,Home & Garden,3/30/2025,4/22/2025,92,1,Returned
ORD-108271,CUST-2998,Electronics,11/8/2024,,3891,3,Shipped
ORD-115080,CUST-1451,Home & Garden,7/6/2024,,456,4,Shipped
ORD-113625,CUST-0677,Sports,1/3/2026,,448,4,Shipped
ORD-130639,CUST-3595,Electronics,2/14/2025,,436,1,Shipped
ORD-130441,CUST-7324,Toys,3/30/2025,,150,2,Shipped
ORD-136057,CUST-2945,Toys,3/31/2026,,160,5,Shipped
ORD-142652,CUST-7094,Home & Garden,9/16/2025,,2095,5,Shipped
ORD-136804,CUST-3455,Electronics,10/23/2025,,1161,1,Shipped
ORD-143327,CUST-6968,Electronics,8/13/2024,,239232 NTD,4,Pending
ORD-129227,CUST-5965,Electronics,8/17/2025,,992,4,Shipped
ORD-105634,CUST-7602,Toys,12/24/2025,,8320 NTD,5,Shipped
ORD-105988,CUST-4592,Toys,10/30/2024,,USD 48,1,Shipped
ORD-144032,CUST-4189,Sports,7/2/2024,,316,4,Pending
ORD-101813,CUST-2856,Toys,10/11/2024,,292,4,Shipped
ORD-127579,CUST-3382,Toys,11/8/2024,11/19/2024,78,1,Returned
ORD-116824,CUST-7672,Sports,6/23/2024,7/20/2024,256,4,Returned
ORD-103929,CUST-3915,Clothing,4/29/2025,,48,2,Shipped
ORD-137287,CUST-0113,Clothing,4/16/2024,,72,2,Cancelled
ORD-125046,CUST-1559,Electronics,5/17/2024,,7695,5,Shipped
ORD-115728,CUST-1018,Sports,3/15/2025,,1380,5,Pending
ORD-129601,CUST-7810,Clothing,6/3/2024,,425,5,Shipped
ORD-110431,CUST-5380,Electronics,1/20/2026,2/8/2026,1998,2,Returned
ORD-125769,CUST-3563,Home & Garden,8/23/2025,,400,2,Shipped
ORD-129104,CUST-3270,Clothing,1/21/2026,,99,1,Shipped
ORD-136538,CUST-3565,Toys,2/8/2025,3/4/2025,52,1,Returned
ORD-139329,CUST-3862,Toys,3/21/2026,,USD 57,3,Shipped
ORD-135540,CUST-1823,Electronics,12/21/2025,,2088,3,Pending
ORD-128076,CUST-7998,Sports,3/10/2026,,750,3,Shipped
ORD-117841,CUST-0178,Home & Garden,2/28/2026,,360,5,Pending
ORD-127803,CUST-2955,Toys,7/13/2025,,495,5,Pending
ORD-107683,CUST-3275,Clothing,12/4/2025,,45,1,Shipped
ORD-124280,CUST-4526,Toys,9/11/2024,,$312.00 ,4,Shipped
ORD-133071,CUST-1482,Electronics,7/21/2024,,6196,4,Pending
ORD-135558,CUST-7813,Home & Garden,9/23/2024,,92,1,Shipped
ORD-137190,CUST-2598,Toys,5/14/2024,,USD 415,5,Shipped
ORD-147150,CUST-1031,Electronics,5/11/2024,,1549,1,Shipped
ORD-146916,CUST-3444,Clothing,7/31/2025,,44,1,Shipped
ORD-109802,CUST-5639,Toys,6/9/2025,,$72.00 ,2,Shipped
ORD-138801,CUST-3269,Clothing,12/2/2025,1/4/2026,43,1,Returned
ORD-124670,CUST-3577,Electronics,2/15/2025,,196864 NTD,4,Shipped
ORD-144234,CUST-0876,Electronics,1/8/2026,,1151,1,Shipped
ORD-131920,CUST-6668,Clothing,9/28/2025,9/30/2025,596,4,Returned
ORD-107135,CUST-3910,Clothing,5/15/2024,,228,2,Shipped
ORD-133705,CUST-4259,Home & Garden,5/16/2024,,624,3,Shipped
ORD-129661,CUST-0540,Toys,8/8/2024,,$50.00 ,1,Shipped
ORD-117894,CUST-0692,Sports,10/17/2025,,819,3,Shipped
ORD-122019,CUST-1197,Sports,11/9/2025,,1405,5,Shipped
ORD-113539,CUST-3138,Clothing,11/8/2025,12/13/2025,592,4,Returned
ORD-143119,CUST-7103,Sports,1/5/2026,,USD 238,2,Shipped
ORD-136421,CUST-4082,Home & Garden,8/13/2024,,1056,3,Shipped
ORD-109406,CUST-4204,Toys,7/3/2025,,140,4,Shipped
ORD-113414,CUST-4834,Toys,7/11/2024,,172,2,Shipped
ORD-106721,CUST-4069,Sports,9/5/2025,,155,1,Shipped
ORD-115602,CUST-3781,Clothing,11/19/2025,12/22/2025,1856 NTD,1,Returned
ORD-144744,CUST-2984,Home & Garden,7/19/2024,,1113,3,Shipped
ORD-131139,CUST-5932,Sports,8/25/2025,,765,5,Pending
ORD-102730,CUST-0995,Toys,12/14/2024,1/13/2025,125,5,Returned
ORD-138243,CUST-3090,Sports,11/24/2024,12/4/2024,231,3,Returned
ORD-129626,CUST-5495,Electronics,9/10/2025,,7416,4,Shipped
ORD-147895,CUST-4771,Toys,4/16/2025,,23,1,Shipped
ORD-142091,CUST-5893,Clothing,12/17/2024,,166,2,Shipped
ORD-136400,CUST-4309,Sports,3/8/2026,,438,2,Shipped
ORD-106245,CUST-6194,Toys,4/23/2024,,25,1,Shipped
ORD-105546,CUST-4504,Toys,1/5/2026,,95,5,Shipped
ORD-104065,CUST-5096,Toys,6/27/2025,,85,1,Shipped
ORD-112852,CUST-3079,Electronics,9/1/2025,,498,1,Shipped
ORD-121803,CUST-5333,Clothing,1/18/2025,,436,4,Shipped
ORD-141164,CUST-0465,Sports,8/4/2024,,168,3,Shipped
ORD-106233,CUST-0869,Toys,8/18/2025,,188,2,Shipped
ORD-103863,CUST-2821,Home & Garden,2/15/2025,,350,1,Shipped
ORD-135095,CUST-5901,Electronics,2/19/2026,,USD 4120,5,Shipped
ORD-140196,CUST-6659,Home & Garden,1/22/2025,,552,4,Shipped
ORD-139251,CUST-2960,Electronics,1/28/2026,,176256 NTD,3,Shipped
ORD-106218,CUST-7134,Electronics,9/22/2024,10/18/2024,334,1,Returned
ORD-136776,CUST-7152,Electronics,10/30/2024,,3225,5,Shipped
ORD-142977,CUST-5854,Toys,7/1/2024,,USD 42,2,Shipped
ORD-102088,CUST-4803,Home & Garden,1/31/2026,,537,3,Pending
ORD-114832,CUST-5026,Sports,10/20/2024,,960,4,Shipped
ORD-130093,CUST-0306,Toys,5/12/2024,6/12/2024,$39.00 ,3,Returned
ORD-108894,CUST-3969,Sports,10/28/2024,,12416 NTD,4,Shipped
ORD-106021,CUST-5791,Toys,8/28/2025,,296,4,Cancelled
ORD-146089,CUST-4286,Electronics,4/13/2026,,454,1,Shipped
ORD-115243,CUST-3281,Sports,10/17/2024,,1240,5,Shipped
ORD-145308,CUST-2368,Clothing,3/31/2026,,USD 104,1,Shipped
ORD-126551,CUST-5010,Toys,6/13/2025,,68,4,Shipped
ORD-106035,CUST-1678,Clothing,3/8/2025,4/22/2025,91,1,Returned
ORD-107906,CUST-6639,Electronics,4/5/2025,,7288,4,Shipped
ORD-132226,CUST-4994,Home & Garden,4/18/2024,,592,2,Shipped
ORD-106018,CUST-4020,Clothing,4/16/2025,,77,1,Shipped
ORD-121880,CUST-6781,Electronics,11/29/2025,,7375,5,Shipped
ORD-102792,CUST-0360,Clothing,10/22/2025,,190,5,Shipped
ORD-142606,CUST-6388,Sports,6/23/2025,8/16/2025,6432 NTD,3,Returned
ORD-105824,CUST-0554,Sports,5/21/2025,,625,5,Cancelled
ORD-115388,CUST-7425,Sports,8/16/2025,,1028,4,Shipped
ORD-129562,CUST-0992,Sports,10/25/2025,,294,3,Shipped
ORD-139476,CUST-5944,Electronics,1/28/2026,,$948.00 ,1,Shipped
ORD-100293,CUST-3564,Home & Garden,6/1/2024,,88,1,Shipped
ORD-116958,CUST-2772,Sports,10/31/2025,,596,4,Shipped
ORD-130861,CUST-2566,Clothing,1/6/2026,,460,4,Shipped
ORD-114074,CUST-5674,Toys,10/19/2024,,81,1,Shipped
ORD-121857,CUST-2867,Electronics,6/4/2024,,2901,3,Pending
ORD-122080,CUST-2960,Sports,4/12/2025,,411,3,Shipped
ORD-117024,CUST-4806,Home & Garden,10/28/2024,,7296 NTD,3,Shipped
ORD-108740,CUST-6572,Toys,12/7/2025,,84,2,Pending
ORD-115826,CUST-6377,Toys,9/21/2025,,58,1,Cancelled
ORD-102742,CUST-4519,Home & Garden,9/8/2024,,14464 NTD,1,Shipped
ORD-118049,CUST-6984,Home & Garden,10/2/2025,10/10/2025,370,2,Returned
ORD-124031,CUST-2925,Sports,1/25/2026,,555,5,Pending
ORD-117373,CUST-0262,Sports,10/3/2024,11/30/2024,426,3,Returned
ORD-122022,CUST-0029,Sports,11/16/2025,,352,4,Shipped
ORD-146365,CUST-4504,Toys,6/3/2024,6/16/2024,335,5,Returned
ORD-123538,CUST-3478,Clothing,4/8/2025,,134,1,Shipped
ORD-145500,CUST-6696,Home & Garden,3/17/2025,,240,1,Shipped
ORD-140186,CUST-1857,Toys,3/6/2025,,256,4,Pending
ORD-109614,CUST-2113,Home & Garden,6/19/2024,8/7/2024,272,4,Returned
ORD-143282,CUST-5111,Clothing,5/30/2024,,114,1,Shipped
ORD-137892,CUST-1595,Sports,5/10/2025,,808,4,Shipped
ORD-126179,CUST-6093,Home & Garden,9/27/2025,,1832,4,Shipped
ORD-145893,CUST-4006,Toys,10/22/2025,11/3/2025,224,4,Returned
ORD-120934,CUST-5568,Home & Garden,11/10/2025,,48768 NTD,4,Shipped
ORD-140972,CUST-1399,Electronics,11/7/2024,12/28/2024,5124,4,Returned
ORD-122225,CUST-0932,Clothing,11/24/2025,,261,3,Cancelled
ORD-124382,CUST-4904,Electronics,4/13/2026,,4345,5,Shipped
ORD-134856,CUST-4827,Toys,10/27/2024,11/17/2024,116,2,Returned
ORD-141309,CUST-2192,Home & Garden,12/14/2025,,330,1,Pending
ORD-138537,CUST-3300,Toys,2/8/2026,,44,4,Shipped
ORD-131756,CUST-2794,Clothing,6/20/2024,,19680 NTD,5,Shipped
ORD-107754,CUST-6843,Toys,7/4/2024,,1984 NTD,1,Shipped
ORD-146639,CUST-0138,Clothing,1/10/2026,,200,2,Shipped
ORD-143835,CUST-2851,Sports,12/5/2025,12/28/2025,USD 182,1,Returned
ORD-126236,CUST-3555,Toys,5/7/2024,,152,4,Cancelled
ORD-144230,CUST-6549,Toys,4/16/2024,5/13/2024,297,3,Returned
ORD-125400,CUST-5945,Electronics,7/18/2024,,4612,4,Pending
ORD-118553,CUST-0798,Sports,8/13/2024,,284,2,Shipped
ORD-143137,CUST-7494,Sports,9/4/2024,,56,1,Shipped
ORD-136673,CUST-7583,Toys,9/9/2024,9/3/2024,66,3,Returned
ORD-143650,CUST-2754,Home & Garden,5/24/2025,,1188,4,Shipped
ORD-103941,CUST-6849,Home & Garden,3/26/2026,,417,1,Shipped
ORD-131497,CUST-6359,Electronics,4/13/2026,,3604,4,Shipped
ORD-126594,CUST-7829,Electronics,12/30/2025,,9425,5,Shipped
ORD-123922,CUST-2267,Toys,6/13/2024,6/23/2024,33,1,Returned
ORD-126403,CUST-1943,Home & Garden,7/15/2025,,USD 782,2,Shipped
ORD-145943,CUST-1353,Electronics,4/20/2025,,3714,2,Shipped
ORD-139983,CUST-4623,Sports,10/11/2025,,$729.00 ,3,Pending
ORD-118316,CUST-1285,Toys,12/28/2025,2/10/2026,44,1,Returned
ORD-136894,CUST-1098,Electronics,4/23/2025,,6715,5,Pending
ORD-126696,CUST-6284,Sports,6/16/2025,,231,3,Shipped
